NAME,TICKER,PER,DATE,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT
NEGRI SEMBILAN OIL PALMS BERHAD (2038),SEM.KL,D,20180515,1.53,1.54,1.51,1.54,751,0
A50CHIN-C12,A50CHIN-C12.KL,D,20180515,0.06,0.06,0.06,0.06,0,0
ABF MALAYSIA BOND INDEX FUND,ABFMY1.KL,D,20180515,1.155,1.155,1.155,1.155,0,0
A50CHIN-C13,A50CHIN-C13.KL,D,20180515,0.24,0.24,0.24,0.24,0,0
ABLEGROUP BERHAD (7086.KL),ABLEGRP.KL,D,20180515,0.1,0.105,0.095,0.105,4298,0
A50CHIN-C14,A50CHIN-C14.KL,D,20180515,0.04,0.04,0.04,0.04,0,0
ABM FUJIYA BERHAD [S] (5198.KL),AFUJIYA.KL,D,20180515,0.42,0.42,0.42,0.42,0,0
A50CHIN-C16,A50CHIN-C16.KL,D,20180515,0.105,0.105,0.105,0.105,1100,0
ACME HOLDINGS BERHAD (7131.KL),ACME.KL,D,20180515,0.325,0.325,0.325,0.325,0,0
A50CHIN-H15,A50CHIN-H15.KL,D,20180515,0.985,0.985,0.985,0.985,0,0
ACOUSTECH BHD(7061.KL),ACOSTEC.KL,D,20180515,0.395,0.395,0.395,0.395,0,0
A50CHIN-H7,A50CHIN-H7.KL,D,20180515,0.075,0.075,0.075,0.075,0,0
ADVANCE INFORMATION MARKETING BERHAD (0122.KL),AIM.KL,D,20180515,0.26,0.26,0.26,0.26,0,0
A50CHIN-H8,A50CHIN-H8.KL,D,20180515,0.445,0.455,0.445,0.455,2000,0
ADVANCE SYNERGY BERHAD (1481.KL),ASB.KL,D,20180515,0.135,0.24,0.135,0.225,3588961,0
A50CHIN-H9,A50CHIN-H9.KL,D,20180515,0.565,0.57,0.56,0.565,810,0
ADVCON,ADVCON.KL,D,20180515,0.57,0.58,0.535,0.545,7583,0
AAX-C11,AAX-C11.KL,D,20180515,0.035,0.035,0.035,0.035,1900,0
ADVANCED PACKAGING TECHNOLOGY (M) BHD (9148.KL),ADVPKG.KL,D,20180515,1.99,1.99,1.99,1.99,0,0
AAX-C13,AAX-C13.KL,D,20180515,0.045,0.045,0.045,0.045,19012,0
ADVENTA BERHAD [S] (7191.KL),ADVENTA.KL,D,20180515,0.535,0.6,0.535,0.6,151,0
