NAME,TICKER,PER,DATE,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT
NEGRI SEMBILAN OIL PALMS BERHAD (2038),SEM.KL,D,20180503,1.49,1.53,1.49,1.52,79,0
A50CHIN-C12,A50CHIN-C12.KL,D,20180503,0.035,0.04,0.035,0.04,11700,0
ABF MALAYSIA BOND INDEX FUND,ABFMY1.KL,D,20180503,1.153,1.153,1.153,1.153,0,0
A50CHIN-C13,A50CHIN-C13.KL,D,20180503,0.21,0.21,0.21,0.21,150,0
ABLEGROUP BERHAD (7086.KL),ABLEGRP.KL,D,20180503,0.09,0.1,0.09,0.1,5696,0
A50CHIN-C14,A50CHIN-C14.KL,D,20180503,0.03,0.03,0.03,0.03,0,0
ABM FUJIYA BERHAD [S] (5198.KL),AFUJIYA.KL,D,20180503,0.375,0.375,0.375,0.375,100,0
A50CHIN-C16,A50CHIN-C16.KL,D,20180503,0.08,0.09,0.075,0.09,11516,0
ACCSOFT,ACCSOFT.KL,D,20180503,0.155,0.165,0.155,0.165,53184,0
A50CHIN-H15,A50CHIN-H15.KL,D,20180503,1.1,1.1,1.1,1.1,0,0
ACME HOLDINGS BERHAD (7131.KL),ACME.KL,D,20180503,0.35,0.35,0.35,0.35,0,0
A50CHIN-H7,A50CHIN-H7.KL,D,20180503,0.14,0.14,0.14,0.14,0,0
ACOUSTECH BHD(7061.KL),ACOSTEC.KL,D,20180503,0.385,0.385,0.385,0.385,0,0
A50CHIN-H8,A50CHIN-H8.KL,D,20180503,0.59,0.59,0.59,0.59,0,0
ADVANCE INFORMATION MARKETING BERHAD (0122.KL),AIM.KL,D,20180503,0.22,0.22,0.22,0.22,0,0
A50CHIN-H9,A50CHIN-H9.KL,D,20180503,0.71,0.71,0.71,0.71,0,0
ADVANCE SYNERGY BERHAD (1481.KL),ASB.KL,D,20180503,0.12,0.125,0.12,0.125,5041,0
AAX-C10,AAX-C10.KL,D,20180503,0.005,0.005,0.005,0.005,0,0
ADVCON,ADVCON.KL,D,20180503,0.63,0.63,0.63,0.63,290,0
AAX-C11,AAX-C11.KL,D,20180503,0.04,0.04,0.035,0.035,1450,0
ADVANCED PACKAGING TECHNOLOGY (M) BHD (9148.KL),ADVPKG.KL,D,20180503,1.95,1.95,1.95,1.95,19,0
AAX-C13,AAX-C13.KL,D,20180503,0.045,0.045,0.045,0.045,6000,0
ADVENTA BERHAD [S] (7191.KL),ADVENTA.KL,D,20180503,0.565,0.565,0.565,0.565,0,0
AAX-C14,AAX-C14.KL,D,20180503,0.05,0.05,0.05,0.05,2500,0
AE MULTI HOLDINGS BERHAD (7146.KL),AEM.KL,D,20180503,0.15,0.16,0.15,0.16,14867,0
AAX-C15,AAX-C15.KL,D,20180503,0.045,0.045,0.045,0.045,0,0
AEMULUS,AEMULUS.KL,D,20180503,0.34,0.385,0.335,0.38,36279,0
AAX-C16,AAX-C16.KL,D,20180503,0.07,0.07,0.07,0.07,3000,0
AEON CO. (M) BHD [S] (6599.KL),AEON.KL,D,20180503,2.02,2.04,2.01,2.02,3474,0
AAX-C17,AAX-C17.KL,D,20180503,0.065,0.065,0.065,0.065,0,0
AEON CREDIT SERVICE (M) BERHAD (5139.KL),AEONCR.KL,D,20180503,12.8,12.8,12.76,12.78,2519,0
AAX-WA,AAX-WA.KL,D,20180503,0.155,0.155,0.155,0.155,3582,0
AFFIN HOLDINGS BERHAD (5185.KL),AFFIN.KL,D,20180503,2.51,2.51,2.48,2.49,1753,0
ABMB-CU,ABMB-CU.KL,D,20180503,0.1,0.1,0.1,0.1,0,0
AHB HOLDINGS BERHAD [S] (7315.KL),AHB.KL,D,20180503,0.19,0.19,0.19,0.19,514,0
ABMB-CV,ABMB-CV.KL,D,20180503,0.07,0.07,0.07,0.07,0,0
AHMAD ZAKI RESOURCES BERHAD [S] (7078.KL),AZRB.KL,D,20180503,0.735,0.735,0.73,0.73,4285,0
ABMB-CW,ABMB-CW.KL,D,20180503,0.08,0.08,0.08,0.08,200,0
AIRASIA BERHAD (5099.KL),AIRASIA.KL,D,20180503,3.82,3.82,3.72,3.72,107034,0
ACCSOFT-WA,ACCSOFT-WA.KL,D,20180503,0.095,0.095,0.095,0.095,0,0
AIRASIA X BERHAD (5238.KL),AAX.KL,D,20180503,0.38,0.385,0.375,0.38,48128,0
AEM-WA,AEM-WA.KL,D,20180503,0.045,0.055,0.045,0.055,6525,0
AJINOMOTO (MALAYSIA) BERHAD [S] (2658.KL),AJI.KL,D,20180503,21.6,21.88,21.56,21.88,211,0
AEONCR-LA,AEONCR-LA.KL,D,20180503,1.15,1.15,1.15,1.15,624,0
AJIYA BERHAD [S] (7609.KL),AJIYA.KL,D,20180503,0.5,0.51,0.5,0.51,108,0
AHB-WB,AHB-WB.KL,D,20180503,0.07,0.07,0.07,0.07,0,0
ALAM MARITIM RESOURCES,ALAM.KL,D,20180503,0.135,0.135,0.135,0.135,2832,0
