NAME,TICKER,PER,DATE,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT
NEGRI SEMBILAN OIL PALMS BERHAD (2038),SEM.KL,D,20180502,1.5,1.53,1.47,1.53,3723,0
A50CHIN-C12,A50CHIN-C12.KL,D,20180502,0.045,0.045,0.035,0.04,12465,0
ABF MALAYSIA BOND INDEX FUND,ABFMY1.KL,D,20180502,1.153,1.153,1.153,1.153,0,0
A50CHIN-C13,A50CHIN-C13.KL,D,20180502,0.3,0.3,0.3,0.3,0,0
ABLEGROUP BERHAD (7086.KL),ABLEGRP.KL,D,20180502,0.095,0.1,0.095,0.1,3777,0
A50CHIN-C14,A50CHIN-C14.KL,D,20180502,0.03,0.03,0.03,0.03,700,0
ABM FUJIYA BERHAD [S] (5198.KL),AFUJIYA.KL,D,20180502,0.38,0.38,0.38,0.38,160,0
A50CHIN-C16,A50CHIN-C16.KL,D,20180502,0.09,0.09,0.08,0.09,2602,0
ACCSOFT,ACCSOFT.KL,D,20180502,0.15,0.155,0.15,0.155,35046,0
A50CHIN-H15,A50CHIN-H15.KL,D,20180502,1.1,1.1,1.1,1.1,0,0
ACME HOLDINGS BERHAD (7131.KL),ACME.KL,D,20180502,0.35,0.35,0.35,0.35,0,0
A50CHIN-H7,A50CHIN-H7.KL,D,20180502,0.14,0.14,0.14,0.14,0,0
ACOUSTECH BHD(7061.KL),ACOSTEC.KL,D,20180502,0.385,0.385,0.385,0.385,0,0
A50CHIN-H8,A50CHIN-H8.KL,D,20180502,0.62,0.62,0.59,0.59,4000,0
ADVANCE INFORMATION MARKETING BERHAD (0122.KL),AIM.KL,D,20180502,0.22,0.22,0.22,0.22,0,0
A50CHIN-H9,A50CHIN-H9.KL,D,20180502,0.69,0.71,0.69,0.71,23,0
ADVANCE SYNERGY BERHAD (1481.KL),ASB.KL,D,20180502,0.125,0.125,0.12,0.12,7458,0
AAX-C10,AAX-C10.KL,D,20180502,0.005,0.005,0.005,0.005,0,0
ADVCON,ADVCON.KL,D,20180502,0.64,0.65,0.62,0.65,532,0
