NAME,TICKER,PER,DATE,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT
NEGRI SEMBILAN OIL PALMS BERHAD (2038),SEM.KL,D,20180426,1.49,1.51,1.47,1.51,1428,0
A50CHIN-C12,A50CHIN-C12.KL,D,20180426,0.065,0.065,0.05,0.055,7800,0
ABF MALAYSIA BOND INDEX FUND,ABFMY1.KL,D,20180426,1.153,1.153,1.153,1.153,0,0
A50CHIN-C13,A50CHIN-C13.KL,D,20180426,0.3,0.3,0.3,0.3,0,0
ABLEGROUP BERHAD (7086.KL),ABLEGRP.KL,D,20180426,0.095,0.1,0.095,0.1,9678,0
A50CHIN-C14,A50CHIN-C14.KL,D,20180426,0.035,0.035,0.035,0.035,100,0
ABM FUJIYA BERHAD [S] (5198.KL),AFUJIYA.KL,D,20180426,0.42,0.42,0.42,0.42,0,0
A50CHIN-C16,A50CHIN-C16.KL,D,20180426,0.105,0.105,0.09,0.09,2248,0
ACCSOFT,ACCSOFT.KL,D,20180426,0.16,0.16,0.16,0.16,0,0
A50CHIN-H15,A50CHIN-H15.KL,D,20180426,1.06,1.06,1.06,1.06,0,0
ACME HOLDINGS BERHAD (7131.KL),ACME.KL,D,20180426,0.36,0.36,0.35,0.35,190,0
A50CHIN-H7,A50CHIN-H7.KL,D,20180426,0.14,0.14,0.14,0.14,300,0
ACOUSTECH BHD(7061.KL),ACOSTEC.KL,D,20180426,0.4,0.4,0.4,0.4,8250,0
A50CHIN-H8,A50CHIN-H8.KL,D,20180426,0.585,0.585,0.585,0.585,0,0
ADVANCE INFORMATION MARKETING BERHAD (0122.KL),AIM.KL,D,20180426,0.25,0.25,0.25,0.25,0,0
A50CHIN-H9,A50CHIN-H9.KL,D,20180426,0.675,0.675,0.675,0.675,192,0
ADVANCE SYNERGY BERHAD (1481.KL),ASB.KL,D,20180426,0.12,0.125,0.12,0.125,13188,0
AAX-C10,AAX-C10.KL,D,20180426,0.005,0.005,0.005,0.005,0,0
ADVCON,ADVCON.KL,D,20180426,0.64,0.64,0.64,0.64,0,0
AAX-C11,AAX-C11.KL,D,20180426,0.04,0.04,0.035,0.035,3700,0
ADVANCED PACKAGING TECHNOLOGY (M) BHD (9148.KL),ADVPKG.KL,D,20180426,1.92,1.92,1.92,1.92,0,0
AAX-C13,AAX-C13.KL,D,20180426,0.055,0.055,0.055,0.055,0,0
ADVENTA BERHAD [S] (7191.KL),ADVENTA.KL,D,20180426,0.59,0.59,0.59,0.59,5,0
AAX-C14,AAX-C14.KL,D,20180426,0.055,0.055,0.055,0.055,0,0
AE MULTI HOLDINGS BERHAD (7146.KL),AEM.KL,D,20180426,0.135,0.135,0.13,0.135,3820,0
AAX-C15,AAX-C15.KL,D,20180426,0.045,0.045,0.045,0.045,0,0
AEMULUS,AEMULUS.KL,D,20180426,0.345,0.345,0.33,0.34,2980,0
AAX-C16,AAX-C16.KL,D,20180426,0.075,0.075,0.075,0.075,0,0
AEON CO. (M) BHD [S] (6599.KL),AEON.KL,D,20180426,2.02,2.04,2.01,2.03,39791,0
AAX-C17,AAX-C17.KL,D,20180426,0.065,0.065,0.065,0.065,500,0
AEON CREDIT SERVICE (M) BERHAD (5139.KL),AEONCR.KL,D,20180426,12.84,12.92,12.78,12.82,8912,0
AAX-WA,AAX-WA.KL,D,20180426,0.155,0.16,0.155,0.16,9546,0
AFFIN HOLDINGS BERHAD (5185.KL),AFFIN.KL,D,20180426,2.53,2.56,2.51,2.52,1379,0
ABMB-CU,ABMB-CU.KL,D,20180426,0.1,0.1,0.1,0.1,0,0
AHB HOLDINGS BERHAD [S] (7315.KL),AHB.KL,D,20180426,0.205,0.205,0.2,0.2,101,0
ABMB-CV,ABMB-CV.KL,D,20180426,0.07,0.08,0.07,0.08,4,0
AHMAD ZAKI RESOURCES BERHAD [S] (7078.KL),AZRB.KL,D,20180426,0.745,0.745,0.735,0.74,1410,0
ABMB-CW,ABMB-CW.KL,D,20180426,0.085,0.09,0.085,0.09,200,0
AIRASIA BERHAD (5099.KL),AIRASIA.KL,D,20180426,3.66,3.75,3.66,3.74,60046,0
ACCSOFT-WA,ACCSOFT-WA.KL,D,20180426,0.095,0.095,0.095,0.095,0,0
AIRASIA X BERHAD (5238.KL),AAX.KL,D,20180426,0.375,0.38,0.375,0.38,76200,0
AEM-WA,AEM-WA.KL,D,20180426,0.04,0.04,0.04,0.04,0,0
AJINOMOTO (MALAYSIA) BERHAD [S] (2658.KL),AJI.KL,D,20180426,22,22.1,21.82,22.1,98,0
AEONCR-LA,AEONCR-LA.KL,D,20180426,1.17,1.17,1.17,1.17,0,0
AJIYA BERHAD [S] (7609.KL),AJIYA.KL,D,20180426,0.52,0.52,0.52,0.52,214,0
AHB-WB,AHB-WB.KL,D,20180426,0.07,0.07,0.07,0.07,0,0
ALAM MARITIM RESOURCES,ALAM.KL,D,20180426,0.135,0.135,0.13,0.135,7706,0
AIRASIAC58,AIRASIAC58.KL,D,20180426,0.12,0.12,0.12,0.12,0,0
AL-AQAR KPJ REIT,ALAQAR.KL,D,20180426,1.2,1.22,1.2,1.2,201,0
AIRPORT-CV,AIRPORT-CV.KL,D,20180426,0.035,0.035,0.035,0.035,0,0
ALLIANCE BANK MALAYSIA BERHAD (2488.KL),ABMB.KL,D,20180426,4.19,4.32,4.15,4.32,10351,0
AIRPORT-CW,AIRPORT-CW.KL,D,20180426,0.16,0.16,0.16,0.16,0,0
ALLIANZ MALAYSIA BERHAD (1163.KL),ALLIANZ.KL,D,20180426,11.96,11.96,11.62,11.72,1184,0
AIRPORT-CX,AIRPORT-CX.KL,D,20180426,0.14,0.14,0.14,0.14,0,0
ALLIANZ GENERAL INSURANCE MALAYSIA BHD -PA,ALLIANZ-PA.KL,D,20180426,11.7,11.7,11.7,11.7,0,0
AIRPORT-CY,AIRPORT-CY.KL,D,20180426,0.11,0.11,0.11,0.11,14,0
ALSREIT,ALSREIT.KL,D,20180426,0.85,0.86,0.84,0.84,315,0
AIRPORT-CZ,AIRPORT-CZ.KL,D,20180426,0.11,0.11,0.11,0.11,2,0
ALUMINIUM COMPANY OF MALAYSIA BERHAD [S] (2674.KL),ALCOM.KL,D,20180426,0.795,0.795,0.745,0.75,345,0
AJIYA-WA,AJIYA-WA.KL,D,20180426,0.12,0.12,0.12,0.12,0,0
AMALGAMATED INDUSTRIAL STEEL BERHAD [S] (2682.KL),AISB.KL,D,20180426,0.3,0.3,0.3,0.3,11,0
AKNIGHT-OR,AKNIGHT-OR.KL,D,20180426,0.01,0.01,0.01,0.01,0,0
AMANAH HARTA TANAH PNB (4952.KL),AHP.KL,D,20180426,0.73,0.73,0.73,0.73,30,0
AMBANK-C1,AMBANK-C1.KL,D,20180426,0.005,0.005,0.005,0.005,0,0
AMANAHRAYA REAL ESTATE INVESTMENT TRUST (5127.KL),ARREIT.KL,D,20180426,0.85,0.85,0.84,0.84,655,0
AMBANK-C4,AMBANK-C4.KL,D,20180426,0.015,0.015,0.015,0.015,0,0
AMCORP PROPERTIES BERHAD [S] (1007.KL),AMPROP.KL,D,20180426,0.655,0.665,0.655,0.66,287,0
AMBANK-C5,AMBANK-C5.KL,D,20180426,0.04,0.04,0.04,0.04,2,0
AMFIRST REAL ESTATE INVESTMENT TRUST (5120.KL),AMFIRST.KL,D,20180426,0.6,0.605,0.6,0.605,6110,0
AMBANK-C6,AMBANK-C6.KL,D,20180426,0.01,0.01,0.01,0.01,50,0
AMMB HOLDINGS BHD (1015.KL),AMBANK.KL,D,20180426,3.77,3.81,3.73,3.73,36686,0
AMBANK-C7,AMBANK-C7.KL,D,20180426,0.02,0.02,0.02,0.02,0,0
AMTEK HOLDINGS BERHAD [S] (7051.KL),AMTEK.KL,D,20180426,0.285,0.285,0.285,0.285,4,0
AMBANK-C8,AMBANK-C8.KL,D,20180426,0.07,0.07,0.07,0.07,6,0
AMTEL HOLDINGS BERHAD (7031.KL),AMTEL.KL,D,20180426,0.68,0.68,0.68,0.68,0,0
AMBANK-C9,AMBANK-C9.KL,D,20180426,0.13,0.13,0.13,0.13,1060,0
AMVERTON BERHAD [S] (5959.KL),AMVERTON.KL,D,20180426,1,1,1,1,0,0
AMPROP-PA,AMPROP-PA.KL,D,20180426,0.315,0.315,0.31,0.31,91,0
AMWAY (MALAYSIA) HOLDINGS BERHAD [S] (6351.KL),AMWAY.KL,D,20180426,7.6,7.6,7.6,7.6,31,0
ANNJOO-CF,ANNJOO-CF.KL,D,20180426,0.005,0.005,0.005,0.005,0,0
ANALABS RESOURCES BERHAD [S] (7083.KL),ANALABS.KL,D,20180426,2.04,2.04,2.04,2.04,0,0
ANNJOO-CG,ANNJOO-CG.KL,D,20180426,0.005,0.005,0.005,0.005,0,0
ANCOM BERHAD (4758.KL),ANCOM.KL,D,20180426,0.57,0.605,0.57,0.605,8191,0
ANNJOO-CH,ANNJOO-CH.KL,D,20180426,0.015,0.015,0.015,0.015,1000,0
ANCOM LOGISTICS BERHAD [S] (0048.KL),ANCOMLB.KL,D,20180426,0.09,0.09,0.09,0.09,567,0
ANNJOO-CI,ANNJOO-CI.KL,D,20180426,0.025,0.025,0.025,0.025,0,0
ANN JOO RESOURCES BERHAD (6556.KL),ANNJOO.KL,D,20180426,2.98,2.99,2.96,2.97,2792,0
ANNJOO-CJ,ANNJOO-CJ.KL,D,20180426,0.025,0.025,0.025,0.025,0,0
ANZO,ANZO.KL,D,20180426,0.06,0.06,0.055,0.06,4501,0
ANNJOO-CK,ANNJOO-CK.KL,D,20180426,0.05,0.05,0.05,0.05,0,0
APB RESOURCES BERHAD [S] (5568.KL),APB.KL,D,20180426,0.82,0.82,0.82,0.82,10,0
ANNJOO-CL,ANNJOO-CL.KL,D,20180426,0.03,0.03,0.03,0.03,1900,0
APEX EQUITY HOLDINGS BERHAD (5088.KL),APEX.KL,D,20180426,1.04,1.04,0.9,0.9,180,0
ANNJOO-CM,ANNJOO-CM.KL,D,20180426,0.06,0.06,0.06,0.06,500,0
APEX HEALTHCARE BERHAD [S] (7090.KL),AHEALTH.KL,D,20180426,5.71,5.76,5.7,5.76,113,0
ANNJOO-CN,ANNJOO-CN.KL,D,20180426,0.085,0.085,0.085,0.085,0,0
APFT BERHAD [S] (5194.KL),APFT.KL,D,20180426,0.01,0.01,0.01,0.01,2300,0
ANNJOO-CO,ANNJOO-CO.KL,D,20180426,0.11,0.11,0.11,0.11,1100,0
APM AUTOMOTIVE HOLDINGS BERHAD [S] (5015.KL),APM.KL,D,20180426,3.32,3.4,3.32,3.4,15,0
ANNJOO-PA,ANNJOO-PA.KL,D,20180426,1.63,1.63,1.63,1.63,11,0
APOLLO FOOD HOLDINGS BERHAD [S] (6432.KL),APOLLO.KL,D,20180426,3.85,3.91,3.83,3.91,170,0
ANZO-WA,ANZO-WA.KL,D,20180426,0.02,0.02,0.02,0.02,0,0
APPASIA BERHAD [S] (0119.KL),APPASIA.KL,D,20180426,0.255,0.26,0.255,0.26,708,0
ANZO-WB,ANZO-WB.KL,D,20180426,0.03,0.03,0.03,0.03,0,0
A-RANK BHD,ARANK.KL,D,20180426,0.71,0.74,0.71,0.72,7558,0
ANZO-WC,ANZO-WC.KL,D,20180426,0.025,0.025,0.025,0.025,100,0
ARK RESOURCES BERHAD [S] (7007.KL),ARK.KL,D,20180426,0.31,0.31,0.31,0.31,0,0
APFT-WA,APFT-WA.KL,D,20180426,0.005,0.005,0.005,0.005,0,0
ASDION BERHAD [S] (0068.KL),ASDION.KL,D,20180426,0.41,0.415,0.395,0.405,78487,0
APPASIA-WA,APPASIA-WA.KL,D,20180426,0.15,0.15,0.145,0.145,1206,0
ASIA BRANDS BERHAD (7722.KL),ASIABRN.KL,D,20180426,0.86,0.86,0.86,0.86,0,0
ARK-WB,ARK-WB.KL,D,20180426,0.09,0.09,0.09,0.09,0,0
ASIA FILE CORPORATION BHD [S] (7129.KL),ASIAFLE.KL,D,20180426,2.67,2.67,2.66,2.66,130,0
ARMADA-C29,ARMADA-C29.KL,D,20180426,0.12,0.135,0.12,0.135,2991,0
ASIA KNIGHT BERHAD (9954.KL),AKNIGHT.KL,D,20180426,0.135,0.145,0.13,0.13,2635,0
ARMADA-C30,ARMADA-C30.KL,D,20180426,0.105,0.11,0.105,0.11,1502,0
ASIA MEDIA GROUP BERHAD [S] (0159.KL),AMEDIA.KL,D,20180426,0.085,0.095,0.085,0.09,45893,0
ARMADA-C31,ARMADA-C31.KL,D,20180426,0.085,0.085,0.085,0.085,2600,0
ASIA POLY HOLDINGS BERHAD [S] (0105.KL),ASIAPLY.KL,D,20180426,0.095,0.1,0.095,0.1,3716,0
ARMADA-C32,ARMADA-C32.KL,D,20180426,0.17,0.17,0.17,0.17,0,0
ASIAN PAC HOLDINGS BERHAD [S] (4057.KL),ASIAPAC.KL,D,20180426,0.145,0.145,0.14,0.14,2181,0
ARMADA-C33,ARMADA-C33.KL,D,20180426,0.045,0.05,0.045,0.05,30112,0
ASTINO BERHAD [S] (7162.KL),ASTINO.KL,D,20180426,0.8,0.8,0.78,0.795,1045,0
ARMADA-C34,ARMADA-C34.KL,D,20180426,0.06,0.06,0.06,0.06,2,0
ASTRAL ASIA BERHAD [S] (7054.KL),AASIA.KL,D,20180426,0.19,0.19,0.19,0.19,100,0
ARMADA-C35,ARMADA-C35.KL,D,20180426,0.09,0.09,0.085,0.085,7500,0
ASTRO MALAYSIA HOLDINGS BERHAD (6399.KL),ASTRO.KL,D,20180426,1.82,1.87,1.81,1.81,19632,0
ARMADA-C36,ARMADA-C36.KL,D,20180426,0.05,0.05,0.05,0.05,6000,0
AT SYSTEMATIZATION BERHAD [S] (0072.KL),AT.KL,D,20180426,0.08,0.08,0.08,0.08,666,0
ARMADA-C37,ARMADA-C37.KL,D,20180426,0.075,0.075,0.075,0.075,1502,0
