NAME,TICKER,PER,DATE,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT
NEGRI SEMBILAN OIL PALMS BERHAD (2038),SEM.KL,D,20180508,1.48,1.53,1.48,1.53,755,0
A50CHIN-C12,A50CHIN-C12.KL,D,20180508,0.045,0.05,0.045,0.05,7815,0
ABF MALAYSIA BOND INDEX FUND,ABFMY1.KL,D,20180508,1.155,1.155,1.155,1.155,0,0
A50CHIN-C13,A50CHIN-C13.KL,D,20180508,0.24,0.24,0.24,0.24,150,0
ABLEGROUP BERHAD (7086.KL),ABLEGRP.KL,D,20180508,0.09,0.1,0.09,0.1,6878,0
A50CHIN-C14,A50CHIN-C14.KL,D,20180508,0.04,0.04,0.04,0.04,500,0
ABM FUJIYA BERHAD [S] (5198.KL),AFUJIYA.KL,D,20180508,0.42,0.42,0.42,0.42,0,0
A50CHIN-C16,A50CHIN-C16.KL,D,20180508,0.09,0.1,0.09,0.1,2422,0
ACME HOLDINGS BERHAD (7131.KL),ACME.KL,D,20180508,0.325,0.325,0.325,0.325,60,0
A50CHIN-H15,A50CHIN-H15.KL,D,20180508,1.1,1.1,1.05,1.05,1700,0
ACOUSTECH BHD(7061.KL),ACOSTEC.KL,D,20180508,0.395,0.395,0.395,0.395,0,0
A50CHIN-H7,A50CHIN-H7.KL,D,20180508,0.125,0.125,0.105,0.105,1260,0
ADVANCE INFORMATION MARKETING BERHAD (0122.KL),AIM.KL,D,20180508,0.21,0.21,0.21,0.21,61,0
A50CHIN-H8,A50CHIN-H8.KL,D,20180508,0.59,0.59,0.59,0.59,0,0
ADVANCE SYNERGY BERHAD (1481.KL),ASB.KL,D,20180508,0.12,0.13,0.12,0.125,19756,0
A50CHIN-H9,A50CHIN-H9.KL,D,20180508,0.635,0.635,0.61,0.61,8790,0
ADVCON,ADVCON.KL,D,20180508,0.63,0.64,0.625,0.64,1130,0
AAX-C11,AAX-C11.KL,D,20180508,0.03,0.035,0.03,0.035,5786,0
ADVANCED PACKAGING TECHNOLOGY (M) BHD (9148.KL),ADVPKG.KL,D,20180508,1.99,1.99,1.99,1.99,0,0
AAX-C13,AAX-C13.KL,D,20180508,0.045,0.045,0.045,0.045,0,0
ADVENTA BERHAD [S] (7191.KL),ADVENTA.KL,D,20180508,0.53,0.59,0.53,0.56,31,0
AAX-C14,AAX-C14.KL,D,20180508,0.045,0.05,0.045,0.05,6200,0
AE MULTI HOLDINGS BERHAD (7146.KL),AEM.KL,D,20180508,0.16,0.165,0.16,0.16,2320,0
AAX-C15,AAX-C15.KL,D,20180508,0.045,0.045,0.045,0.045,0,0
AEMULUS,AEMULUS.KL,D,20180508,0.34,0.355,0.34,0.345,19224,0
AAX-C16,AAX-C16.KL,D,20180508,0.07,0.07,0.07,0.07,1000,0
AEON CO. (M) BHD [S] (6599.KL),AEON.KL,D,20180508,2.01,2.06,2,2.04,11100,0
AAX-C17,AAX-C17.KL,D,20180508,0.065,0.065,0.065,0.065,0,0
AEON CREDIT SERVICE (M) BERHAD (5139.KL),AEONCR.KL,D,20180508,12.5,12.78,12.42,12.78,1231,0
AAX-WA,AAX-WA.KL,D,20180508,0.155,0.155,0.155,0.155,5703,0
AFFIN HOLDINGS BERHAD (5185.KL),AFFIN.KL,D,20180508,2.46,2.52,2.45,2.49,3749,0
ABMB-CU,ABMB-CU.KL,D,20180508,0.1,0.1,0.1,0.1,0,0
AHB HOLDINGS BERHAD [S] (7315.KL),AHB.KL,D,20180508,0.19,0.2,0.19,0.2,999,0
ABMB-CV,ABMB-CV.KL,D,20180508,0.06,0.06,0.06,0.06,0,0
AHMAD ZAKI RESOURCES BERHAD [S] (7078.KL),AZRB.KL,D,20180508,0.72,0.72,0.72,0.72,66,0
ABMB-CW,ABMB-CW.KL,D,20180508,0.08,0.08,0.08,0.08,0,0
AIRASIA BERHAD (5099.KL),AIRASIA.KL,D,20180508,3.67,3.73,3.63,3.7,67199,0
AEM-WA,AEM-WA.KL,D,20180508,0.045,0.055,0.045,0.055,2404,0
AIRASIA X BERHAD (5238.KL),AAX.KL,D,20180508,0.375,0.38,0.37,0.375,122790,0
AEONCR-LA,AEONCR-LA.KL,D,20180508,1.13,1.21,1.12,1.21,316,0
AJINOMOTO (MALAYSIA) BERHAD [S] (2658.KL),AJI.KL,D,20180508,21.88,23,21.88,22.4,301,0
AHB-WB,AHB-WB.KL,D,20180508,0.06,0.06,0.06,0.06,0,0
AJIYA BERHAD [S] (7609.KL),AJIYA.KL,D,20180508,0.5,0.5,0.5,0.5,1682,0
AIRASIAC59,AIRASIAC59.KL,D,20180508,0.155,0.16,0.155,0.16,3100,0
ALAM MARITIM RESOURCES,ALAM.KL,D,20180508,0.12,0.13,0.12,0.125,21250,0
AIRASIAC60,AIRASIAC60.KL,D,20180508,0.17,0.175,0.17,0.175,7230,0
AL-AQAR KPJ REIT,ALAQAR.KL,D,20180508,1.25,1.25,1.25,1.25,20,0
AIRASIAC61,AIRASIAC61.KL,D,20180508,0.22,0.225,0.22,0.225,3800,0
ALLIANCE BANK MALAYSIA BERHAD (2488.KL),ABMB.KL,D,20180508,4.06,4.13,4.06,4.12,7448,0
AIRPORT-CV,AIRPORT-CV.KL,D,20180508,0.035,0.035,0.035,0.035,0,0
ALLIANZ MALAYSIA BERHAD (1163.KL),ALLIANZ.KL,D,20180508,11.4,11.5,11.36,11.38,478,0
AIRPORT-CW,AIRPORT-CW.KL,D,20180508,0.16,0.16,0.16,0.16,0,0
ALLIANZ GENERAL INSURANCE MALAYSIA BHD -PA,ALLIANZ-PA.KL,D,20180508,11.2,11.2,11.2,11.2,0,0
AIRPORT-CX,AIRPORT-CX.KL,D,20180508,0.135,0.135,0.135,0.135,0,0
ALSREIT,ALSREIT.KL,D,20180508,0.85,0.85,0.845,0.85,684,0
AIRPORT-CY,AIRPORT-CY.KL,D,20180508,0.1,0.1,0.1,0.1,0,0
ALUMINIUM COMPANY OF MALAYSIA BERHAD [S] (2674.KL),ALCOM.KL,D,20180508,0.77,0.815,0.77,0.8,293,0
AIRPORT-CZ,AIRPORT-CZ.KL,D,20180508,0.1,0.1,0.1,0.1,0,0
AMALGAMATED INDUSTRIAL STEEL BERHAD [S] (2682.KL),AISB.KL,D,20180508,0.3,0.3,0.3,0.3,150,0
AJIYA-WA,AJIYA-WA.KL,D,20180508,0.11,0.12,0.11,0.12,3551,0
AMANAH HARTA TANAH PNB (4952.KL),AHP.KL,D,20180508,0.73,0.73,0.73,0.73,121,0
AMBANK-C1,AMBANK-C1.KL,D,20180508,0.005,0.005,0.005,0.005,0,0
AMANAHRAYA REAL ESTATE INVESTMENT TRUST (5127.KL),ARREIT.KL,D,20180508,0.83,0.85,0.83,0.85,1134,0
AMBANK-C4,AMBANK-C4.KL,D,20180508,0.01,0.01,0.01,0.01,2000,0
AMCORP PROPERTIES BERHAD [S] (1007.KL),AMPROP.KL,D,20180508,0.665,0.665,0.665,0.665,39,0
AMBANK-C5,AMBANK-C5.KL,D,20180508,0.035,0.035,0.035,0.035,0,0
AMFIRST REAL ESTATE INVESTMENT TRUST (5120.KL),AMFIRST.KL,D,20180508,0.585,0.59,0.585,0.59,353,0
AMBANK-C6,AMBANK-C6.KL,D,20180508,0.01,0.01,0.01,0.01,0,0
AMMB HOLDINGS BHD (1015.KL),AMBANK.KL,D,20180508,3.68,3.75,3.67,3.72,41291,0
AMBANK-C7,AMBANK-C7.KL,D,20180508,0.02,0.02,0.02,0.02,1000,0
AMTEK HOLDINGS BERHAD [S] (7051.KL),AMTEK.KL,D,20180508,0.29,0.29,0.29,0.29,0,0
AMBANK-C8,AMBANK-C8.KL,D,20180508,0.06,0.06,0.06,0.06,4,0
AMTEL HOLDINGS BERHAD (7031.KL),AMTEL.KL,D,20180508,0.63,0.63,0.63,0.63,0,0
AMBANK-C9,AMBANK-C9.KL,D,20180508,0.11,0.115,0.11,0.115,2500,0
AMVERTON BERHAD [S] (5959.KL),AMVERTON.KL,D,20180508,1.01,1.01,1.01,1.01,0,0
AMPROP-PA,AMPROP-PA.KL,D,20180508,0.31,0.31,0.31,0.31,115,0
AMWAY (MALAYSIA) HOLDINGS BERHAD [S] (6351.KL),AMWAY.KL,D,20180508,7.74,7.75,7.7,7.75,72,0
AMPROP-PB,AMPROP-PB.KL,D,20180508,0.635,0.635,0.635,0.635,0,0
ANALABS RESOURCES BERHAD [S] (7083.KL),ANALABS.KL,D,20180508,2.09,2.12,2.09,2.12,2427,0
ANNJOO-CF,ANNJOO-CF.KL,D,20180508,0.005,0.005,0.005,0.005,0,0
ANCOM BERHAD (4758.KL),ANCOM.KL,D,20180508,0.505,0.545,0.505,0.53,1114,0
ANNJOO-CG,ANNJOO-CG.KL,D,20180508,0.005,0.005,0.005,0.005,0,0
ANCOM LOGISTICS BERHAD [S] (0048.KL),ANCOMLB.KL,D,20180508,0.09,0.1,0.09,0.1,1644,0
ANNJOO-CH,ANNJOO-CH.KL,D,20180508,0.01,0.01,0.01,0.01,0,0
ANN JOO RESOURCES BERHAD (6556.KL),ANNJOO.KL,D,20180508,2.68,2.73,2.62,2.63,34385,0
ANNJOO-CI,ANNJOO-CI.KL,D,20180508,0.015,0.015,0.015,0.015,0,0
ANZO,ANZO.KL,D,20180508,0.05,0.055,0.05,0.05,34148,0
ANNJOO-CJ,ANNJOO-CJ.KL,D,20180508,0.01,0.01,0.01,0.01,0,0
APB RESOURCES BERHAD [S] (5568.KL),APB.KL,D,20180508,0.82,0.82,0.82,0.82,0,0
