NAME,TICKER,PER,DATE,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT
NEGRI SEMBILAN OIL PALMS BERHAD (2038),SEM.KL,D,20180507,1.48,1.5,1.48,1.5,98,0
A50CHIN-C12,A50CHIN-C12.KL,D,20180507,0.035,0.045,0.035,0.045,7300,0
ABF MALAYSIA BOND INDEX FUND,ABFMY1.KL,D,20180507,1.155,1.155,1.155,1.155,10,0
A50CHIN-C13,A50CHIN-C13.KL,D,20180507,0.21,0.21,0.21,0.21,0,0
ABLEGROUP BERHAD (7086.KL),ABLEGRP.KL,D,20180507,0.09,0.1,0.09,0.1,1730,0
A50CHIN-C14,A50CHIN-C14.KL,D,20180507,0.03,0.03,0.03,0.03,0,0
ABM FUJIYA BERHAD [S] (5198.KL),AFUJIYA.KL,D,20180507,0.42,0.42,0.42,0.42,0,0
A50CHIN-C16,A50CHIN-C16.KL,D,20180507,0.085,0.09,0.08,0.09,10890,0
ACME HOLDINGS BERHAD (7131.KL),ACME.KL,D,20180507,0.325,0.325,0.325,0.325,20,0
A50CHIN-H15,A50CHIN-H15.KL,D,20180507,1.12,1.12,1.12,1.12,800,0
ACOUSTECH BHD(7061.KL),ACOSTEC.KL,D,20180507,0.395,0.395,0.395,0.395,0,0
A50CHIN-H7,A50CHIN-H7.KL,D,20180507,0.135,0.135,0.135,0.135,300,0
ADVANCE INFORMATION MARKETING BERHAD (0122.KL),AIM.KL,D,20180507,0.22,0.22,0.22,0.22,0,0
A50CHIN-H8,A50CHIN-H8.KL,D,20180507,0.59,0.59,0.59,0.59,0,0
ADVANCE SYNERGY BERHAD (1481.KL),ASB.KL,D,20180507,0.12,0.125,0.12,0.12,10465,0
A50CHIN-H9,A50CHIN-H9.KL,D,20180507,0.69,0.69,0.655,0.655,423,0
ADVCON,ADVCON.KL,D,20180507,0.65,0.65,0.64,0.64,165,0
AAX-C11,AAX-C11.KL,D,20180507,0.035,0.035,0.035,0.035,2800,0
