NAME,TICKER,PER,DATE,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT
NEGRI SEMBILAN OIL PALMS BERHAD (2038),SEM.KL,D,20180427,1.5,1.51,1.5,1.5,1163,0
A50CHIN-C12,A50CHIN-C12.KL,D,20180427,0.055,0.055,0.045,0.05,14450,0
ABF MALAYSIA BOND INDEX FUND,ABFMY1.KL,D,20180427,1.153,1.153,1.153,1.153,0,0
A50CHIN-C13,A50CHIN-C13.KL,D,20180427,0.3,0.3,0.3,0.3,0,0
ABLEGROUP BERHAD (7086.KL),ABLEGRP.KL,D,20180427,0.095,0.1,0.095,0.1,1145,0
A50CHIN-C14,A50CHIN-C14.KL,D,20180427,0.03,0.03,0.03,0.03,100,0
ABM FUJIYA BERHAD [S] (5198.KL),AFUJIYA.KL,D,20180427,0.42,0.42,0.42,0.42,0,0
A50CHIN-C16,A50CHIN-C16.KL,D,20180427,0.095,0.095,0.09,0.09,200,0
ACCSOFT,ACCSOFT.KL,D,20180427,0.15,0.155,0.15,0.155,4358,0
A50CHIN-H15,A50CHIN-H15.KL,D,20180427,1.12,1.19,1.12,1.19,2070,0
ACME HOLDINGS BERHAD (7131.KL),ACME.KL,D,20180427,0.35,0.35,0.35,0.35,0,0
A50CHIN-H7,A50CHIN-H7.KL,D,20180427,0.14,0.14,0.14,0.14,0,0
ACOUSTECH BHD(7061.KL),ACOSTEC.KL,D,20180427,0.395,0.395,0.385,0.385,600,0
A50CHIN-H8,A50CHIN-H8.KL,D,20180427,0.585,0.585,0.585,0.585,0,0
ADVANCE INFORMATION MARKETING BERHAD (0122.KL),AIM.KL,D,20180427,0.24,0.24,0.22,0.22,760,0
A50CHIN-H9,A50CHIN-H9.KL,D,20180427,0.725,0.725,0.725,0.725,20,0
ADVANCE SYNERGY BERHAD (1481.KL),ASB.KL,D,20180427,0.125,0.125,0.12,0.125,6148,0
AAX-C10,AAX-C10.KL,D,20180427,0.005,0.005,0.005,0.005,0,0
ADVCON,ADVCON.KL,D,20180427,0.64,0.64,0.64,0.64,0,0
AAX-C11,AAX-C11.KL,D,20180427,0.04,0.045,0.04,0.045,6066,0
ADVANCED PACKAGING TECHNOLOGY (M) BHD (9148.KL),ADVPKG.KL,D,20180427,1.92,1.92,1.92,1.92,0,0
AAX-C13,AAX-C13.KL,D,20180427,0.055,0.055,0.055,0.055,0,0
ADVENTA BERHAD [S] (7191.KL),ADVENTA.KL,D,20180427,0.53,0.59,0.53,0.58,140,0
AAX-C14,AAX-C14.KL,D,20180427,0.055,0.055,0.055,0.055,6000,0
AE MULTI HOLDINGS BERHAD (7146.KL),AEM.KL,D,20180427,0.14,0.14,0.14,0.14,3584,0
AAX-C15,AAX-C15.KL,D,20180427,0.045,0.045,0.045,0.045,0,0
AEMULUS,AEMULUS.KL,D,20180427,0.34,0.355,0.34,0.34,8150,0
AAX-C16,AAX-C16.KL,D,20180427,0.075,0.075,0.075,0.075,1000,0
AEON CO. (M) BHD [S] (6599.KL),AEON.KL,D,20180427,2.05,2.06,2.03,2.05,18943,0
AAX-C17,AAX-C17.KL,D,20180427,0.065,0.065,0.065,0.065,1100,0
AEON CREDIT SERVICE (M) BERHAD (5139.KL),AEONCR.KL,D,20180427,12.9,12.9,12.72,12.82,195,0
AAX-WA,AAX-WA.KL,D,20180427,0.155,0.16,0.155,0.16,2399,0
AFFIN HOLDINGS BERHAD (5185.KL),AFFIN.KL,D,20180427,2.52,2.52,2.5,2.5,634,0
ABMB-CU,ABMB-CU.KL,D,20180427,0.1,0.1,0.1,0.1,0,0
AHB HOLDINGS BERHAD [S] (7315.KL),AHB.KL,D,20180427,0.19,0.19,0.19,0.19,171,0
ABMB-CV,ABMB-CV.KL,D,20180427,0.08,0.08,0.08,0.08,0,0
AHMAD ZAKI RESOURCES BERHAD [S] (7078.KL),AZRB.KL,D,20180427,0.74,0.75,0.74,0.75,226,0
ABMB-CW,ABMB-CW.KL,D,20180427,0.09,0.09,0.09,0.09,0,0
AIRASIA BERHAD (5099.KL),AIRASIA.KL,D,20180427,3.78,3.97,3.74,3.97,96943,0
ACCSOFT-WA,ACCSOFT-WA.KL,D,20180427,0.095,0.095,0.095,0.095,0,0
AIRASIA X BERHAD (5238.KL),AAX.KL,D,20180427,0.38,0.39,0.375,0.38,206160,0
AEM-WA,AEM-WA.KL,D,20180427,0.04,0.04,0.04,0.04,3000,0
AJINOMOTO (MALAYSIA) BERHAD [S] (2658.KL),AJI.KL,D,20180427,22,22,21.76,21.82,134,0
AEONCR-LA,AEONCR-LA.KL,D,20180427,1.17,1.17,1.17,1.17,0,0
AJIYA BERHAD [S] (7609.KL),AJIYA.KL,D,20180427,0.53,0.53,0.515,0.515,150,0
AHB-WB,AHB-WB.KL,D,20180427,0.07,0.07,0.07,0.07,0,0
ALAM MARITIM RESOURCES,ALAM.KL,D,20180427,0.135,0.135,0.13,0.135,7261,0
AIRASIAC58,AIRASIAC58.KL,D,20180427,0.12,0.12,0.12,0.12,0,0
AL-AQAR KPJ REIT,ALAQAR.KL,D,20180427,1.2,1.2,1.2,1.2,0,0
AIRASIAC59,AIRASIAC59.KL,D,20180427,0.175,0.2,0.175,0.2,5000,0
ALLIANCE BANK MALAYSIA BERHAD (2488.KL),ABMB.KL,D,20180427,4.25,4.35,4.25,4.35,2800,0
AIRASIAC60,AIRASIAC60.KL,D,20180427,0.185,0.225,0.185,0.225,57890,0
ALLIANZ MALAYSIA BERHAD (1163.KL),ALLIANZ.KL,D,20180427,11.72,11.72,11.14,11.24,260,0
AIRASIAC61,AIRASIAC61.KL,D,20180427,0.245,0.29,0.245,0.285,25255,0
ALLIANZ GENERAL INSURANCE MALAYSIA BHD -PA,ALLIANZ-PA.KL,D,20180427,11.7,11.7,11.7,11.7,0,0
AIRPORT-CV,AIRPORT-CV.KL,D,20180427,0.035,0.035,0.035,0.035,0,0
ALSREIT,ALSREIT.KL,D,20180427,0.86,0.86,0.86,0.86,15,0
AIRPORT-CW,AIRPORT-CW.KL,D,20180427,0.16,0.16,0.16,0.16,0,0
ALUMINIUM COMPANY OF MALAYSIA BERHAD [S] (2674.KL),ALCOM.KL,D,20180427,0.755,0.785,0.75,0.78,570,0
AIRPORT-CX,AIRPORT-CX.KL,D,20180427,0.14,0.14,0.14,0.14,0,0
AMALGAMATED INDUSTRIAL STEEL BERHAD [S] (2682.KL),AISB.KL,D,20180427,0.32,0.36,0.32,0.32,11,0
AIRPORT-CY,AIRPORT-CY.KL,D,20180427,0.12,0.12,0.12,0.12,2,0
AMANAH HARTA TANAH PNB (4952.KL),AHP.KL,D,20180427,0.73,0.73,0.73,0.73,0,0
AIRPORT-CZ,AIRPORT-CZ.KL,D,20180427,0.11,0.11,0.11,0.11,0,0
AMANAHRAYA REAL ESTATE INVESTMENT TRUST (5127.KL),ARREIT.KL,D,20180427,0.83,0.84,0.83,0.84,595,0
AJIYA-WA,AJIYA-WA.KL,D,20180427,0.12,0.12,0.12,0.12,0,0
AMCORP PROPERTIES BERHAD [S] (1007.KL),AMPROP.KL,D,20180427,0.66,0.67,0.66,0.66,159,0
AKNIGHT-OR,AKNIGHT-OR.KL,D,20180427,0.01,0.01,0.01,0.01,0,0
AMFIRST REAL ESTATE INVESTMENT TRUST (5120.KL),AMFIRST.KL,D,20180427,0.605,0.605,0.6,0.6,3833,0
AMBANK-C1,AMBANK-C1.KL,D,20180427,0.005,0.005,0.005,0.005,0,0
AMMB HOLDINGS BHD (1015.KL),AMBANK.KL,D,20180427,3.79,3.79,3.75,3.78,14320,0
AMBANK-C4,AMBANK-C4.KL,D,20180427,0.015,0.015,0.015,0.015,0,0
AMTEK HOLDINGS BERHAD [S] (7051.KL),AMTEK.KL,D,20180427,0.29,0.29,0.29,0.29,351,0
AMBANK-C5,AMBANK-C5.KL,D,20180427,0.04,0.04,0.04,0.04,0,0
AMTEL HOLDINGS BERHAD (7031.KL),AMTEL.KL,D,20180427,0.68,0.68,0.68,0.68,0,0
AMBANK-C6,AMBANK-C6.KL,D,20180427,0.01,0.01,0.01,0.01,0,0
AMVERTON BERHAD [S] (5959.KL),AMVERTON.KL,D,20180427,1,1,1,1,0,0
