NAME,TICKER,PER,DATE,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010312,0.1718,0.1718,0.1686,0.1702,2263,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010313,0.167,0.1702,0.163,0.1702,3898,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010314,0.167,0.1694,0.1654,0.1694,2263,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010315,0.1646,0.1718,0.1622,0.1718,2389,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010316,0.163,0.1646,0.163,0.1646,1005,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010319,0.163,0.1638,0.1606,0.1606,3646,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010320,0.1606,0.1606,0.1551,0.1606,4526,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010321,0.1606,0.1606,0.1559,0.159,3269,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010322,0.1575,0.159,0.1575,0.159,502,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010323,0.1583,0.1622,0.1583,0.159,2263,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010327,0.159,0.159,0.159,0.159,1886,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010328,0.159,0.1606,0.1583,0.1583,1508,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010329,0.1575,0.1575,0.1511,0.1567,3269,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010330,0.1567,0.1598,0.1567,0.159,1257,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010402,0.1551,0.1583,0.1535,0.1543,6035,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010403,0.1535,0.159,0.1535,0.1583,3395,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010404,0.1511,0.1583,0.1495,0.1527,8047,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010405,0.1527,0.1559,0.1511,0.1551,6161,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010406,0.1606,0.1606,0.1527,0.1559,2263,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010409,0.1511,0.1511,0.1447,0.1447,4275,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010410,0.1495,0.1511,0.1423,0.1487,13329,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010411,0.1511,0.1519,0.1463,0.1511,5407,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010412,0.1479,0.1503,0.1479,0.1503,4526,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010413,0.1503,0.1614,0.1503,0.1527,3898,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010416,0.1527,0.1551,0.1527,0.1551,2011,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010417,0.1535,0.1535,0.1527,0.1535,2640,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010418,0.1535,0.1535,0.1519,0.1527,3646,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010419,0.1583,0.1583,0.1535,0.1559,3772,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010420,0.1559,0.1606,0.1559,0.159,5029,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010423,0.1614,0.1614,0.159,0.1614,1760,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010424,0.1614,0.1686,0.159,0.1598,628,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010425,0.167,0.1686,0.159,0.1622,1634,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010426,0.1535,0.1662,0.1535,0.1662,1886,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010427,0.163,0.171,0.163,0.167,2389,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010430,0.167,0.167,0.1654,0.1654,1257,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010502,0.1686,0.1781,0.1686,0.1765,12700,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010503,0.1797,0.1829,0.175,0.1789,5784,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010504,0.175,0.175,0.167,0.167,2640,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010508,0.1622,0.1622,0.1606,0.1622,1760,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010509,0.1638,0.1686,0.1622,0.167,1131,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010510,0.163,0.163,0.163,0.163,1634,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010511,0.163,0.1662,0.163,0.1662,2389,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010514,0.163,0.163,0.1606,0.1606,1508,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010515,0.1686,0.1686,0.163,0.1638,1005,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010516,0.1638,0.1662,0.1622,0.1662,1131,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010517,0.171,0.171,0.1662,0.1662,3143,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010518,0.1638,0.1662,0.1638,0.1662,1131,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010521,0.1654,0.1662,0.1654,0.1662,2011,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010522,0.167,0.1694,0.167,0.1686,2766,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010523,0.167,0.1702,0.1662,0.1702,2389,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010524,0.1702,0.1781,0.1694,0.1781,3520,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010525,0.1726,0.1781,0.1726,0.1726,6287,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010528,0.171,0.171,0.171,0.171,125,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010529,0.1734,0.1742,0.1726,0.1726,1005,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010530,0.1726,0.1726,0.171,0.1718,1383,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010531,0.171,0.1742,0.171,0.1742,2766,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010601,0.1742,0.1765,0.1734,0.1765,628,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010605,0.1773,0.1781,0.1773,0.1781,880,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010606,0.1781,0.1797,0.1757,0.1765,1383,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010607,0.175,0.175,0.175,0.175,628,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010608,0.175,0.1781,0.175,0.1781,5658,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010611,0.1765,0.1821,0.1765,0.1821,1508,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010612,0.175,0.1829,0.1734,0.1789,3898,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010613,0.1829,0.1829,0.1797,0.1813,2766,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010614,0.1813,0.1813,0.1773,0.1781,2766,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010615,0.175,0.175,0.175,0.175,125,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010618,0.175,0.175,0.1726,0.1726,754,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010619,0.1726,0.1773,0.1726,0.1773,2640,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010620,0.175,0.1909,0.175,0.1909,8928,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010621,0.1877,0.1877,0.1789,0.1821,880,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010622,0.1773,0.1797,0.1773,0.1797,2640,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010625,0.1757,0.1765,0.1757,0.1765,377,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010626,0.1765,0.1813,0.1765,0.1813,1634,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010627,0.1821,0.1845,0.1797,0.1821,1508,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010628,0.1837,0.1837,0.1789,0.1789,1760,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010629,0.1789,0.1901,0.1789,0.1893,10185,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010702,0.1813,0.1813,0.1797,0.1797,628,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010703,0.1797,0.1797,0.1797,0.1797,125,0
